Snarl	P_value
['5261215_5261206', ['>5261206>5261215']]	">5261206>5261215   NaN
dtype: float64"
['5261215_5261206', ['>5261206>5261207>*>5261214>5261215']]	">5261206>5261207>*>5261214>5261215   NaN
dtype: float64"
['5261206_5261204', ['>5261204>5261206']]	">5261204>5261206   NaN
dtype: float64"
['5261206_5261204', ['>5261204>5261205>5261206']]	">5261204>5261205>5261206   NaN
dtype: float64"
['5261204_5261201', ['>5261201>5261202>5261204']]	">5261201>5261202>5261204   NaN
dtype: float64"
['5261204_5261201', ['>5261201>5261203>5261204']]	">5261201>5261203>5261204   NaN
dtype: float64"
['5261201_5261198', ['>5261198>5261199>5261201']]	">5261198>5261199>5261201   NaN
dtype: float64"
['5261201_5261198', ['>5261198>5261200>5261201']]	">5261198>5261200>5261201   NaN
dtype: float64"
['5261198_5261195', ['>5261195>5261196>5261198']]	">5261195>5261196>5261198   NaN
dtype: float64"
['5261198_5261195', ['>5261195>5261197>5261198']]	">5261195>5261197>5261198   NaN
dtype: float64"
['5261195_5261192', ['>5261192>5261193>5261195']]	">5261192>5261193>5261195   NaN
dtype: float64"
['5261195_5261192', ['>5261192>5261194>5261195']]	">5261192>5261194>5261195   NaN
dtype: float64"
['5261192_5261189', ['>5261189>5261190>5261192']]	">5261189>5261190>5261192   NaN
dtype: float64"
['5261192_5261189', ['>5261189>5261191>5261192']]	">5261189>5261191>5261192   NaN
dtype: float64"
['5261189_5261186', ['>5261186>5261187>5261189']]	">5261186>5261187>5261189   NaN
dtype: float64"
['5261189_5261186', ['>5261186>5261188>5261189']]	">5261186>5261188>5261189   NaN
dtype: float64"
['5261186_5261184', ['>5261184>5261186']]	">5261184>5261186   NaN
dtype: float64"
['5261186_5261184', ['>5261184>5261185>5261186']]	">5261184>5261185>5261186   NaN
dtype: float64"
['5261184_5261181', ['>5261181>5261182>5261184']]	">5261181>5261182>5261184   NaN
dtype: float64"
['5261184_5261181', ['>5261181>5261183>5261184']]	">5261181>5261183>5261184   NaN
dtype: float64"
['5261181_5261178', ['>5261178>5261179>5261181']]	">5261178>5261179>5261181   NaN
dtype: float64"
['5261181_5261178', ['>5261178>5261180>5261181']]	">5261178>5261180>5261181   NaN
dtype: float64"
['5261178_5261175', ['>5261175>5261176>5261178']]	">5261175>5261176>5261178   NaN
dtype: float64"
['5261178_5261175', ['>5261175>5261177>5261178']]	">5261175>5261177>5261178   NaN
dtype: float64"
['5261175_5261172', ['>5261172>5261173>5261175']]	">5261172>5261173>5261175   NaN
dtype: float64"
['5261175_5261172', ['>5261172>5261174>5261175']]	">5261172>5261174>5261175   NaN
dtype: float64"
['5261172_5261169', ['>5261169>5261170>5261172']]	">5261169>5261170>5261172   NaN
dtype: float64"
['5261172_5261169', ['>5261169>5261171>5261172']]	">5261169>5261171>5261172   NaN
dtype: float64"
['5261169_5261166', ['>5261166>5261167>5261169']]	">5261166>5261167>5261169   NaN
dtype: float64"
['5261169_5261166', ['>5261166>5261168>5261169']]	">5261166>5261168>5261169   NaN
dtype: float64"
['5261166_5261163', ['>5261163>5261164>5261166']]	">5261163>5261164>5261166   NaN
dtype: float64"
['5261166_5261163', ['>5261163>5261165>5261166']]	">5261163>5261165>5261166   NaN
dtype: float64"
['5261163_5261160', ['>5261160>5261161>5261163']]	">5261160>5261161>5261163   NaN
dtype: float64"
['5261163_5261160', ['>5261160>5261162>5261163']]	">5261160>5261162>5261163   NaN
dtype: float64"
['5261160_5261157', ['>5261157>5261158>5261160']]	">5261157>5261158>5261160   NaN
dtype: float64"
['5261160_5261157', ['>5261157>5261159>5261160']]	">5261157>5261159>5261160   NaN
dtype: float64"
['5261157_5261154', ['>5261154>5261155>5261157']]	">5261154>5261155>5261157   NaN
dtype: float64"
['5261157_5261154', ['>5261154>5261156>5261157']]	">5261154>5261156>5261157   NaN
dtype: float64"
['5261154_5261151', ['>5261151>5261152>5261154']]	">5261151>5261152>5261154   NaN
dtype: float64"
['5261154_5261151', ['>5261151>5261153>5261154']]	">5261151>5261153>5261154   NaN
dtype: float64"
['5261151_5261149', ['>5261149>5261151']]	">5261149>5261151   NaN
dtype: float64"
['5261151_5261149', ['>5261149>5261150>5261151']]	">5261149>5261150>5261151   NaN
dtype: float64"
['5261149_5261146', ['>5261146>5261147>5261149']]	">5261146>5261147>5261149   NaN
dtype: float64"
['5261149_5261146', ['>5261146>5261148>5261149']]	">5261146>5261148>5261149   NaN
dtype: float64"
['5261146_5261144', ['>5261144>5261146']]	">5261144>5261146   NaN
dtype: float64"
['5261146_5261144', ['>5261144>5261145>5261146']]	">5261144>5261145>5261146   NaN
dtype: float64"
['5261144_5261142', ['>5261142>5261144']]	">5261142>5261144   NaN
dtype: float64"
['5261144_5261142', ['>5261142>5261143>5261144']]	">5261142>5261143>5261144   NaN
dtype: float64"
['5261142_5261134', ['>5261134>5261142']]	">5261134>5261142   NaN
dtype: float64"
['5261142_5261134', ['>5261134>5261135>*>5261141>5261142']]	">5261134>5261135>*>5261141>5261142   NaN
dtype: float64"
['5261133_5261130', ['>5261130>5261131>5261133']]	">5261130>5261131>5261133   NaN
dtype: float64"
['5261133_5261130', ['>5261130>5261132>5261133']]	">5261130>5261132>5261133   NaN
dtype: float64"
['5261130_5261127', ['>5261127>5261128>5261130']]	">5261127>5261128>5261130   NaN
dtype: float64"
['5261130_5261127', ['>5261127>5261129>5261130']]	">5261127>5261129>5261130   NaN
dtype: float64"
['5261127_5261124', ['>5261124>5261125>5261127']]	">5261124>5261125>5261127   NaN
dtype: float64"
['5261127_5261124', ['>5261124>5261126>5261127']]	">5261124>5261126>5261127   NaN
dtype: float64"
['5261124_5261122', ['>5261122>5261124']]	">5261122>5261124   NaN
dtype: float64"
['5261124_5261122', ['>5261122>5261123>5261124']]	">5261122>5261123>5261124   NaN
dtype: float64"
['5261122_5261120', ['>5261120>5261122']]	">5261120>5261122   NaN
dtype: float64"
['5261122_5261120', ['>5261120>5261121>5261122']]	">5261120>5261121>5261122   NaN
dtype: float64"
['5261120_5261117', ['>5261117>5261118>5261120']]	">5261117>5261118>5261120   NaN
dtype: float64"
['5261120_5261117', ['>5261117>5261119>5261120']]	">5261117>5261119>5261120   NaN
dtype: float64"
['5261117_5261115', ['>5261115>5261117']]	">5261115>5261117   NaN
dtype: float64"
['5261117_5261115', ['>5261115>5261116>5261117']]	">5261115>5261116>5261117   NaN
dtype: float64"
['5261115_5261112', ['>5261112>5261113>5261115']]	">5261112>5261113>5261115   NaN
dtype: float64"
['5261115_5261112', ['>5261112>5261114>5261115']]	">5261112>5261114>5261115   NaN
dtype: float64"
['5261112_5261109', ['>5261109>5261110>5261112']]	">5261109>5261110>5261112   NaN
dtype: float64"
['5261112_5261109', ['>5261109>5261111>5261112']]	">5261109>5261111>5261112   NaN
dtype: float64"
['5261109_5261100', ['>5261100>5261109']]	">5261100>5261109   NaN
dtype: float64"
['5261109_5261100', ['>5261100>5261101>*>5261108>5261109']]	">5261100>5261101>*>5261108>5261109   NaN
dtype: float64"
['5261100_5261097', ['>5261097>5261098>5261100']]	">5261097>5261098>5261100   NaN
dtype: float64"
['5261100_5261097', ['>5261097>5261099>5261100']]	">5261097>5261099>5261100   NaN
dtype: float64"
['5261097_5261094', ['>5261094>5261095>5261097']]	">5261094>5261095>5261097   NaN
dtype: float64"
['5261097_5261094', ['>5261094>5261096>5261097']]	">5261094>5261096>5261097   NaN
dtype: float64"
['5261094_5261091', ['>5261091>5261092>5261094']]	">5261091>5261092>5261094   NaN
dtype: float64"
['5261094_5261091', ['>5261091>5261093>5261094']]	">5261091>5261093>5261094   NaN
dtype: float64"
['5261091_5261088', ['>5261088>5261089>5261091']]	">5261088>5261089>5261091   NaN
dtype: float64"
['5261091_5261088', ['>5261088>5261090>5261091']]	">5261088>5261090>5261091   NaN
dtype: float64"
['5261088_5261085', ['>5261085>5261086>5261088']]	">5261085>5261086>5261088   NaN
dtype: float64"
['5261088_5261085', ['>5261085>5261087>5261088']]	">5261085>5261087>5261088   NaN
dtype: float64"
['5261085_5261082', ['>5261082>5261083>5261085']]	">5261082>5261083>5261085   NaN
dtype: float64"
['5261085_5261082', ['>5261082>5261084>5261085']]	">5261082>5261084>5261085   NaN
dtype: float64"
['5261082_5261080', ['>5261080>5261082']]	">5261080>5261082   NaN
dtype: float64"
['5261082_5261080', ['>5261080>5261081>5261082']]	">5261080>5261081>5261082   NaN
dtype: float64"
['5261080_5261077', ['>5261077>5261078>5261080']]	">5261077>5261078>5261080   NaN
dtype: float64"
['5261080_5261077', ['>5261077>5261079>5261080']]	">5261077>5261079>5261080   NaN
dtype: float64"
['5261077_5261075', ['>5261075>5261077']]	">5261075>5261077   NaN
dtype: float64"
['5261077_5261075', ['>5261075>5261076>5261077']]	">5261075>5261076>5261077   NaN
dtype: float64"
['5261075_5261073', ['>5261073>5261075']]	">5261073>5261075   NaN
dtype: float64"
['5261075_5261073', ['>5261073>5261074>5261075']]	">5261073>5261074>5261075   NaN
dtype: float64"
['5261073_5261070', ['>5261070>5261071>5261073']]	">5261070>5261071>5261073   NaN
dtype: float64"
['5261073_5261070', ['>5261070>5261072>5261073']]	">5261070>5261072>5261073   NaN
dtype: float64"
['5261070_5261068', ['>5261068>5261070']]	">5261068>5261070   NaN
dtype: float64"
['5261070_5261068', ['>5261068>5261069>5261070']]	">5261068>5261069>5261070   NaN
dtype: float64"
['5261068_5261066', ['>5261066>5261068']]	">5261066>5261068   NaN
dtype: float64"
['5261068_5261066', ['>5261066>5261067>5261068']]	">5261066>5261067>5261068   NaN
dtype: float64"
['5261066_5261063', ['>5261063>5261064>5261066']]	">5261063>5261064>5261066   NaN
dtype: float64"
['5261066_5261063', ['>5261063>5261065>5261066']]	">5261063>5261065>5261066   NaN
dtype: float64"
['5261063_5261060', ['>5261060>5261061>5261063']]	">5261060>5261061>5261063   NaN
dtype: float64"
['5261063_5261060', ['>5261060>5261062>5261063']]	">5261060>5261062>5261063   NaN
dtype: float64"
['5261060_5261058', ['>5261058>5261060']]	">5261058>5261060   NaN
dtype: float64"
['5261060_5261058', ['>5261058>5261059>5261060']]	">5261058>5261059>5261060   NaN
dtype: float64"
['5261058_5261055', ['>5261055>5261056>5261058']]	">5261055>5261056>5261058   NaN
dtype: float64"
['5261058_5261055', ['>5261055>5261057>5261058']]	">5261055>5261057>5261058   NaN
dtype: float64"
['5261055_5261052', ['>5261052>5261053>5261055']]	">5261052>5261053>5261055   NaN
dtype: float64"
['5261055_5261052', ['>5261052>5261054>5261055']]	">5261052>5261054>5261055   NaN
dtype: float64"
['5261052_5261049', ['>5261049>5261050>5261052']]	">5261049>5261050>5261052   NaN
dtype: float64"
['5261052_5261049', ['>5261049>5261051>5261052']]	">5261049>5261051>5261052   NaN
dtype: float64"
['5261049_5261047', ['>5261047>5261049']]	">5261047>5261049   NaN
dtype: float64"
['5261049_5261047', ['>5261047>5261048>5261049']]	">5261047>5261048>5261049   NaN
dtype: float64"
['5261047_5261044', ['>5261044>5261045>5261047']]	">5261044>5261045>5261047   NaN
dtype: float64"
['5261047_5261044', ['>5261044>5261046>5261047']]	">5261044>5261046>5261047   NaN
dtype: float64"
['5261044_5261041', ['>5261041>5261042>5261044']]	">5261041>5261042>5261044   NaN
dtype: float64"
['5261044_5261041', ['>5261041>5261043>5261044']]	">5261041>5261043>5261044   NaN
dtype: float64"
['5261040_5261037', ['>5261037>5261038>5261040']]	">5261037>5261038>5261040   NaN
dtype: float64"
['5261040_5261037', ['>5261037>5261039>5261040']]	">5261037>5261039>5261040   NaN
dtype: float64"
['5261037_5261034', ['>5261034>5261035>5261037']]	">5261034>5261035>5261037   NaN
dtype: float64"
['5261037_5261034', ['>5261034>5261036>5261037']]	">5261034>5261036>5261037   NaN
dtype: float64"
['5261034_5261031', ['>5261031>5261032>5261034']]	">5261031>5261032>5261034   NaN
dtype: float64"
['5261034_5261031', ['>5261031>5261033>5261034']]	">5261031>5261033>5261034   NaN
dtype: float64"
['5261031_5261028', ['>5261028>5261029>5261031']]	">5261028>5261029>5261031   NaN
dtype: float64"
['5261031_5261028', ['>5261028>5261030>5261031']]	">5261028>5261030>5261031   NaN
dtype: float64"
['5261028_5261025', ['>5261025>5261026>5261028']]	">5261025>5261026>5261028   NaN
dtype: float64"
['5261028_5261025', ['>5261025>5261027>5261028']]	">5261025>5261027>5261028   NaN
dtype: float64"
['5261025_5261022', ['>5261022>5261023>5261025']]	">5261022>5261023>5261025   NaN
dtype: float64"
['5261025_5261022', ['>5261022>5261024>5261025']]	">5261022>5261024>5261025   NaN
dtype: float64"
['5261022_5261019', ['>5261019>5261020>5261022']]	">5261019>5261020>5261022   NaN
dtype: float64"
['5261022_5261019', ['>5261019>5261021>5261022']]	">5261019>5261021>5261022   NaN
dtype: float64"
['5261019_5261017', ['>5261017>5261019']]	">5261017>5261019   NaN
dtype: float64"
['5261019_5261017', ['>5261017>5261018>5261019']]	">5261017>5261018>5261019   NaN
dtype: float64"
['5261017_5261015', ['>5261015>5261017']]	">5261015>5261017   NaN
dtype: float64"
['5261017_5261015', ['>5261015>5261016>5261017']]	">5261015>5261016>5261017   NaN
dtype: float64"
['5261015_5261012', ['>5261012>5261013>5261015']]	">5261012>5261013>5261015   NaN
dtype: float64"
['5261015_5261012', ['>5261012>5261014>5261015']]	">5261012>5261014>5261015   NaN
dtype: float64"
['5261012_5261009', ['>5261009>5261010>5261012']]	">5261009>5261010>5261012   NaN
dtype: float64"
['5261012_5261009', ['>5261009>5261011>5261012']]	">5261009>5261011>5261012   NaN
dtype: float64"
['5261009_5261006', ['>5261006>5261007>5261009']]	">5261006>5261007>5261009   NaN
dtype: float64"
['5261009_5261006', ['>5261006>5261008>5261009']]	">5261006>5261008>5261009   NaN
dtype: float64"
['5261006_5261003', ['>5261003>5261004>5261006']]	">5261003>5261004>5261006   NaN
dtype: float64"
['5261006_5261003', ['>5261003>5261005>5261006']]	">5261003>5261005>5261006   NaN
dtype: float64"
['5261003_5261000', ['>5261000>5261003']]	">5261000>5261003   NaN
dtype: float64"
['5261003_5261000', ['>5261000>5261001>5261003']]	">5261000>5261001>5261003   NaN
dtype: float64"
['5261003_5261000', ['>5261000>5261002>5261003']]	">5261000>5261002>5261003   NaN
dtype: float64"
['5261000_5260997', ['>5260997>5260998>5261000']]	">5260997>5260998>5261000   NaN
dtype: float64"
['5261000_5260997', ['>5260997>5260999>5261000']]	">5260997>5260999>5261000   NaN
dtype: float64"
['5260997_5260994', ['>5260994>5260995>5260997']]	">5260994>5260995>5260997   NaN
dtype: float64"
['5260997_5260994', ['>5260994>5260996>5260997']]	">5260994>5260996>5260997   NaN
dtype: float64"
['5260994_5260991', ['>5260991>5260992>5260994']]	">5260991>5260992>5260994   NaN
dtype: float64"
['5260994_5260991', ['>5260991>5260993>5260994']]	">5260991>5260993>5260994   NaN
dtype: float64"
['5260991_5260988', ['>5260988>5260989>5260991']]	">5260988>5260989>5260991   NaN
dtype: float64"
['5260991_5260988', ['>5260988>5260990>5260991']]	">5260988>5260990>5260991   NaN
dtype: float64"
['5260988_5260985', ['>5260985>5260986>5260988']]	">5260985>5260986>5260988   NaN
dtype: float64"
['5260988_5260985', ['>5260985>5260987>5260988']]	">5260985>5260987>5260988   NaN
dtype: float64"
['5260985_5260982', ['>5260982>5260983>5260985']]	">5260982>5260983>5260985   NaN
dtype: float64"
['5260985_5260982', ['>5260982>5260984>5260985']]	">5260982>5260984>5260985   NaN
dtype: float64"
['5260982_5260979', ['>5260979>5260980>5260982']]	">5260979>5260980>5260982   NaN
dtype: float64"
['5260982_5260979', ['>5260979>5260981>5260982']]	">5260979>5260981>5260982   NaN
dtype: float64"
['5260978_5260970', ['>5260970>5260978']]	">5260970>5260978   NaN
dtype: float64"
['5260978_5260970', ['>5260970>5260971>*>5260977>5260978']]	">5260970>5260971>*>5260977>5260978   NaN
dtype: float64"
['5260970_5260968', ['>5260968>5260970']]	">5260968>5260970   NaN
dtype: float64"
['5260970_5260968', ['>5260968>5260969>5260970']]	">5260968>5260969>5260970   NaN
dtype: float64"
['5260966_5260963', ['>5260963>5260964>5260966']]	">5260963>5260964>5260966   NaN
dtype: float64"
['5260966_5260963', ['>5260963>5260965>5260966']]	">5260963>5260965>5260966   NaN
dtype: float64"
['5260963_5260960', ['>5260960>5260961>5260963']]	">5260960>5260961>5260963   NaN
dtype: float64"
['5260963_5260960', ['>5260960>5260962>5260963']]	">5260960>5260962>5260963   NaN
dtype: float64"
['5260960_5260957', ['>5260957>5260958>5260960']]	">5260957>5260958>5260960   NaN
dtype: float64"
['5260960_5260957', ['>5260957>5260959>5260960']]	">5260957>5260959>5260960   NaN
dtype: float64"
['5260957_5260954', ['>5260954>5260955>5260957']]	">5260954>5260955>5260957   NaN
dtype: float64"
['5260957_5260954', ['>5260954>5260956>5260957']]	">5260954>5260956>5260957   NaN
dtype: float64"
['5260954_5260951', ['>5260951>5260954']]	">5260951>5260954   NaN
dtype: float64"
['5260954_5260951', ['>5260951>5260952>*>5260953>5260954']]	">5260951>5260952>*>5260953>5260954   NaN
dtype: float64"
['5260951_5260948', ['>5260948>5260949>5260951']]	">5260948>5260949>5260951   NaN
dtype: float64"
['5260951_5260948', ['>5260948>5260950>5260951']]	">5260948>5260950>5260951   NaN
dtype: float64"
['5260948_5260945', ['>5260945>5260946>5260948']]	">5260945>5260946>5260948   NaN
dtype: float64"
['5260948_5260945', ['>5260945>5260947>5260948']]	">5260945>5260947>5260948   NaN
dtype: float64"
['5260945_5260942', ['>5260942>5260943>5260945']]	">5260942>5260943>5260945   NaN
dtype: float64"
['5260945_5260942', ['>5260942>5260944>5260945']]	">5260942>5260944>5260945   NaN
dtype: float64"
['5260942_5260939', ['>5260939>5260940>5260942']]	">5260939>5260940>5260942   NaN
dtype: float64"
['5260942_5260939', ['>5260939>5260941>5260942']]	">5260939>5260941>5260942   NaN
dtype: float64"
['5260939_5260936', ['>5260936>5260937>5260939']]	">5260936>5260937>5260939   NaN
dtype: float64"
['5260939_5260936', ['>5260936>5260938>5260939']]	">5260936>5260938>5260939   NaN
dtype: float64"
['5260936_5260933', ['>5260933>5260934>5260936']]	">5260933>5260934>5260936   NaN
dtype: float64"
['5260936_5260933', ['>5260933>5260935>5260936']]	">5260933>5260935>5260936   NaN
dtype: float64"
['5260933_5260913', ['>5260913>5260933']]	">5260913>5260933   NaN
dtype: float64"
['5260933_5260913', ['>5260913>5260914>*>5260932>5260933']]	">5260913>5260914>*>5260932>5260933   NaN
dtype: float64"
['5260932_5260929', ['>5260929>5260932']]	">5260929>5260932   NaN
dtype: float64"
['5260932_5260929', ['>5260929>5260930>5260932']]	">5260929>5260930>5260932   NaN
dtype: float64"
['5260932_5260929', ['>5260929>5260931>5260932']]	">5260929>5260931>5260932   NaN
dtype: float64"
['5260929_5260926', ['>5260926>5260927>5260929']]	">5260926>5260927>5260929   NaN
dtype: float64"
['5260929_5260926', ['>5260926>5260928>5260929']]	">5260926>5260928>5260929   NaN
dtype: float64"
['5260926_5260924', ['>5260924>5260926']]	">5260924>5260926   NaN
dtype: float64"
['5260926_5260924', ['>5260924>5260925>5260926']]	">5260924>5260925>5260926   NaN
dtype: float64"
['5260924_5260921', ['>5260921>5260924']]	">5260921>5260924   NaN
dtype: float64"
['5260924_5260921', ['>5260921>5260922>5260924']]	">5260921>5260922>5260924   NaN
dtype: float64"
['5260924_5260921', ['>5260921>5260923>5260924']]	">5260921>5260923>5260924   NaN
dtype: float64"
['5260921_5260918', ['>5260918>5260921']]	">5260918>5260921   NaN
dtype: float64"
['5260921_5260918', ['>5260918>5260920>5260921']]	">5260918>5260920>5260921   NaN
dtype: float64"
['5260921_5260918', ['>5260918>5260919>5260920>5260921']]	">5260918>5260919>5260920>5260921   NaN
dtype: float64"
['5260918_5260916', ['>5260916>5260918']]	">5260916>5260918   NaN
dtype: float64"
['5260918_5260916', ['>5260916>5260917>5260918']]	">5260916>5260917>5260918   NaN
dtype: float64"
['5260916_5260914', ['>5260914>5260916']]	">5260914>5260916   NaN
dtype: float64"
['5260916_5260914', ['>5260914>5260915>5260916']]	">5260914>5260915>5260916   NaN
dtype: float64"
['5260913_5260910', ['>5260910>5260911>5260913']]	">5260910>5260911>5260913   NaN
dtype: float64"
['5260913_5260910', ['>5260910>5260912>5260913']]	">5260910>5260912>5260913   NaN
dtype: float64"
['5260910_5260906', ['>5260906>5260910']]	">5260906>5260910   NaN
dtype: float64"
['5260910_5260906', ['>5260906>5260907>*>5260909>5260910']]	">5260906>5260907>*>5260909>5260910   NaN
dtype: float64"
['5260906_5260903', ['>5260903>5260904>5260906']]	">5260903>5260904>5260906   NaN
dtype: float64"
['5260906_5260903', ['>5260903>5260905>5260906']]	">5260903>5260905>5260906   NaN
dtype: float64"
['5260903_5260900', ['>5260900>5260901>5260903']]	">5260900>5260901>5260903   NaN
dtype: float64"
['5260903_5260900', ['>5260900>5260902>5260903']]	">5260900>5260902>5260903   NaN
dtype: float64"
['5260900_5260897', ['>5260897>5260898>5260900']]	">5260897>5260898>5260900   NaN
dtype: float64"
['5260900_5260897', ['>5260897>5260899>5260900']]	">5260897>5260899>5260900   NaN
dtype: float64"
['5260897_5260894', ['>5260894>5260895>5260897']]	">5260894>5260895>5260897   NaN
dtype: float64"
['5260897_5260894', ['>5260894>5260896>5260897']]	">5260894>5260896>5260897   NaN
dtype: float64"
['5260894_5260891', ['>5260891>5260892>5260894']]	">5260891>5260892>5260894   NaN
dtype: float64"
['5260894_5260891', ['>5260891>5260893>5260894']]	">5260891>5260893>5260894   NaN
dtype: float64"
['5260891_5260888', ['>5260888>5260889>5260891']]	">5260888>5260889>5260891   NaN
dtype: float64"
['5260891_5260888', ['>5260888>5260890>5260891']]	">5260888>5260890>5260891   NaN
dtype: float64"
['5260888_5260885', ['>5260885>5260886>5260888']]	">5260885>5260886>5260888   NaN
dtype: float64"
['5260888_5260885', ['>5260885>5260887>5260888']]	">5260885>5260887>5260888   NaN
dtype: float64"
['5260885_5260880', ['>5260880>5260881>5260882>5260885']]	">5260880>5260881>5260882>5260885   NaN
dtype: float64"
['5260885_5260880', ['>5260880>5260881>5260883>5260885']]	">5260880>5260881>5260883>5260885   NaN
dtype: float64"
['5260885_5260880', ['>5260880>5260884>5260885']]	">5260880>5260884>5260885   NaN
dtype: float64"
['5260880_5260877', ['>5260877>5260878>5260880']]	">5260877>5260878>5260880   NaN
dtype: float64"
['5260880_5260877', ['>5260877>5260879>5260880']]	">5260877>5260879>5260880   NaN
dtype: float64"
['5260877_5260874', ['>5260874>5260875>5260877']]	">5260874>5260875>5260877   NaN
dtype: float64"
['5260877_5260874', ['>5260874>5260876>5260877']]	">5260874>5260876>5260877   NaN
dtype: float64"
['5260874_5260871', ['>5260871>5260872>5260874']]	">5260871>5260872>5260874   NaN
dtype: float64"
['5260874_5260871', ['>5260871>5260873>5260874']]	">5260871>5260873>5260874   NaN
dtype: float64"
['5260871_5260866', ['>5260866>5260867>5260868>5260871']]	">5260866>5260867>5260868>5260871   NaN
dtype: float64"
['5260871_5260866', ['>5260866>5260867>5260870>5260871']]	">5260866>5260867>5260870>5260871   NaN
dtype: float64"
['5260871_5260866', ['>5260866>5260869>5260870>5260871']]	">5260866>5260869>5260870>5260871   NaN
dtype: float64"
['5260866_5260863', ['>5260863>5260864>5260866']]	">5260863>5260864>5260866   NaN
dtype: float64"
['5260866_5260863', ['>5260863>5260865>5260866']]	">5260863>5260865>5260866   NaN
dtype: float64"
['5260863_5260861', ['>5260861>5260863']]	">5260861>5260863   NaN
dtype: float64"
['5260863_5260861', ['>5260861>5260862>5260863']]	">5260861>5260862>5260863   NaN
dtype: float64"
['5260861_5260858', ['>5260858>5260859>5260861']]	">5260858>5260859>5260861   NaN
dtype: float64"
['5260861_5260858', ['>5260858>5260860>5260861']]	">5260858>5260860>5260861   NaN
dtype: float64"
['5260858_5260855', ['>5260855>5260856>5260858']]	">5260855>5260856>5260858   NaN
dtype: float64"
['5260858_5260855', ['>5260855>5260857>5260858']]	">5260855>5260857>5260858   NaN
dtype: float64"
['5260855_5260853', ['>5260853>5260855']]	">5260853>5260855   NaN
dtype: float64"
['5260855_5260853', ['>5260853>5260854>5260855']]	">5260853>5260854>5260855   NaN
dtype: float64"
['5260853_5260851', ['>5260851>5260853']]	">5260851>5260853   NaN
dtype: float64"
['5260853_5260851', ['>5260851>5260852>5260853']]	">5260851>5260852>5260853   NaN
dtype: float64"
['5260851_5260845', ['>5260845>5260851']]	">5260845>5260851   NaN
dtype: float64"
['5260851_5260845', ['>5260845>5260846>*>5260850>5260851']]	">5260845>5260846>*>5260850>5260851   NaN
dtype: float64"
['5260845_5260843', ['>5260843>5260845']]	">5260843>5260845   NaN
dtype: float64"
['5260845_5260843', ['>5260843>5260844>5260845']]	">5260843>5260844>5260845   NaN
dtype: float64"
['5260843_5260841', ['>5260841>5260843']]	">5260841>5260843   NaN
dtype: float64"
['5260843_5260841', ['>5260841>5260842>5260843']]	">5260841>5260842>5260843   NaN
dtype: float64"
['5260841_5260839', ['>5260839>5260841']]	">5260839>5260841   NaN
dtype: float64"
['5260841_5260839', ['>5260839>5260840>5260841']]	">5260839>5260840>5260841   NaN
dtype: float64"
['5260839_5260836', ['>5260836>5260837>5260839']]	">5260836>5260837>5260839   NaN
dtype: float64"
['5260839_5260836', ['>5260836>5260838>5260839']]	">5260836>5260838>5260839   NaN
dtype: float64"
['5260836_5260833', ['>5260833>5260834>5260836']]	">5260833>5260834>5260836   NaN
dtype: float64"
['5260836_5260833', ['>5260833>5260835>5260836']]	">5260833>5260835>5260836   NaN
dtype: float64"
['5260833_5260830', ['>5260830>5260831>5260833']]	">5260830>5260831>5260833   NaN
dtype: float64"
['5260833_5260830', ['>5260830>5260832>5260833']]	">5260830>5260832>5260833   NaN
dtype: float64"
['5260830_5260827', ['>5260827>5260828>5260830']]	">5260827>5260828>5260830   NaN
dtype: float64"
['5260830_5260827', ['>5260827>5260829>5260830']]	">5260827>5260829>5260830   NaN
dtype: float64"
['5260827_5260824', ['>5260824>5260825>5260827']]	">5260824>5260825>5260827   NaN
dtype: float64"
['5260827_5260824', ['>5260824>5260826>5260827']]	">5260824>5260826>5260827   NaN
dtype: float64"
['5260824_5260821', ['>5260821>5260822>5260824']]	">5260821>5260822>5260824   NaN
dtype: float64"
['5260824_5260821', ['>5260821>5260823>5260824']]	">5260821>5260823>5260824   NaN
dtype: float64"
['5260821_5260818', ['>5260818>5260819>5260821']]	">5260818>5260819>5260821   NaN
dtype: float64"
['5260821_5260818', ['>5260818>5260820>5260821']]	">5260818>5260820>5260821   NaN
dtype: float64"
['5260818_5260815', ['>5260815>5260816>5260818']]	">5260815>5260816>5260818   NaN
dtype: float64"
['5260818_5260815', ['>5260815>5260817>5260818']]	">5260815>5260817>5260818   NaN
dtype: float64"
['5260815_5260812', ['>5260812>5260813>5260815']]	">5260812>5260813>5260815   NaN
dtype: float64"
['5260815_5260812', ['>5260812>5260814>5260815']]	">5260812>5260814>5260815   NaN
dtype: float64"
['5260812_5260809', ['>5260809>5260810>5260812']]	">5260809>5260810>5260812   NaN
dtype: float64"
['5260812_5260809', ['>5260809>5260811>5260812']]	">5260809>5260811>5260812   NaN
dtype: float64"
['5260809_5260806', ['>5260806>5260807>5260809']]	">5260806>5260807>5260809   NaN
dtype: float64"
['5260809_5260806', ['>5260806>5260808>5260809']]	">5260806>5260808>5260809   NaN
dtype: float64"
['5260806_5260804', ['>5260804>5260806']]	">5260804>5260806   NaN
dtype: float64"
['5260806_5260804', ['>5260804>5260805>5260806']]	">5260804>5260805>5260806   NaN
dtype: float64"
['5260804_5260801', ['>5260801>5260802>5260804']]	">5260801>5260802>5260804   NaN
dtype: float64"
